GMIFC,TYPE,PRODTYP,PROMPT,DESC,LONGDESC,SPANCOMM,CFTCFC,Concat,Category
G1,O, , ,CME MS&PTHUW2 ,CME MICRO E-MINI S&P 500 THURSDAY WK2O  ,X2D       ,X2D  ,9C/G1/O,Micro
G2,O, , ,CME MS&PTHUW3 ,CME MICRO E-MINI S&P 500 THURSDAY WK3O  ,X3D       ,X3D  ,9C/G2/O,Micro
G3,O, , ,CME MS&PTHUW4 ,CME MICRO E-MINI S&P 500 THURSDAY WK4O  ,X4D       ,X4D  ,9C/G3/O,Micro
G4,O, , ,CME MS&PTHUW5 ,CME MICRO E-MINI S&P 500 THURSDAY WK5O  ,X5D       ,X5D  ,9C/G4/O,Micro
HA,O, , ,CME MNQMONW1O ,CME MICRO E-MINI NASDAQ 100 MONDAY WK1 O,D1A       ,D1A  ,9C/HA/O,Micro
HB,O, , ,CME MNQMONW2O ,CME MICRO E-MINI NASDAQ 100 MONDAY WK2 O,D2A       ,D2A  ,9C/HB/O,Micro
HC,O, , ,CME MNQMONW3O ,CME MICRO E-MINI NASDAQ 100 MONDAY WK3 O,D3A       ,D3A  ,9C/HC/O,Micro
HD,O, , ,CME MNQMONW4O ,CME MICRO E-MINI NASDAQ 100 MONDAY WK4 O,D4A       ,D4A  ,9C/HD/O,Micro
HE,O, , ,CME MNQMONW5O ,CME MICRO E-MINI NASDAQ 100 MONDAY WK5 O,D5A       ,D5A  ,9C/HE/O,Micro
HF,O, , ,CME MNQTUEW1O ,CME MICRO E-MINI NASDAQ 100 TUESDAY W1 O,D1B       ,D1B  ,9C/HF/O,Micro
HG,O, , ,CME MNQTUEW2O ,CME MICRO E-MINI NASDAQ 100 TUESDAY W2 O,D2B       ,D2B  ,9C/HG/O,Micro
HH,O, , ,CME MNQTUEW3O ,CME MICRO E-MINI NASDAQ 100 TUESDAY W3 O,D3B       ,D3B  ,9C/HH/O,Micro
HI,O, , ,CME MNQTUEW4O ,CME MICRO E-MINI NASDAQ 100 TUESDAY W4 O,D4B       ,D4B  ,9C/HI/O,Micro
HJ,O, , ,CME MNQTUEW5O ,CME MICRO E-MINI NASDAQ 100 TUESDAY W5 O,D5B       ,D5B  ,9C/HJ/O,Micro
HK,O, , ,CME MNQWEDW1O ,CME MICRO E-MINI NASDAQ100 WEDNESDAY W1O,D1C       ,D1C  ,9C/HK/O,Micro
HM,O, , ,CME MNQWEDW2O ,CME MICRO E-MINI NASDAQ100 WEDNESDAY W2O,D2C       ,D2C  ,9C/HM/O,Micro
HN,O, , ,CME MNQWEDW3O ,CME MICRO E-MINI NASDAQ100 WEDNESDAY W3O,D3C       ,D3C  ,9C/HN/O,Micro
